XLXS_COLUMN,Stata_Name,Stata_Label
सकषतकरकतथ,A,Date of Interview
सकषतकरलनवलकनम,B,Interviewer's name
LocationID,LocationID,Location ID
LocationName,LocationName,Location Name
पहचनठकसपषटकर,b_1,Identity
UniqueID,UniqueID,Unique ID
परतभगबचचकनम,b_0,Name of the participant
पतमतकनमपहलनम,b__1,Household head's name 
परवरकनमउपनम,b_2,Family name/Surname
AMobileNoPrimary,b_3A,Mobile No. (Primary)
BMobileNoConfirm,b_3B,Mobile No.(Confirm)
वहवयकतकनह,b_4,Who is the person?
P223वयवसयऔरकमईससब,b_2_2_3,Occupation and Earning
P2231आपकपरथमकवयवस,b_2_2_3_1,Primary occupation
P2232आपकपरवरकमखयक,b_2_2_3_2,Primary occupation of the main earning member
परतभगयकबरमउनकमतपत,P,Questions about the participant asked to parents
P272वहपरतभगभवषयमक,b_2_7_2,What does the participant plan to do in future?
P272वहपरतभगभवषयमक,b_2_7_2_1,help in household chores at this home
P272वहपरतभगभवषयमक,b_2_7_2_2,get married
P272वहपरतभगभवषयमक,b_2_7_2_3,take tuitions
P272वहपरतभगभवषयमक,b_2_7_2_4,do informal work
P272वहपरतभगभवषयमक,b_2_7_2_5,continue higher education
P272वहपरतभगभवषयमक,b_2_7_2_6,self-employed
P272वहपरतभगभवषयमक,b_2_7_2_7, prepare for job
P272वहपरतभगभवषयमक,b_2_7_2_8,do goverment job
P272वहपरतभगभवषयमक,b_2_7_2_9,do private job
P272वहपरतभगभवषयमक,b_2_7_2_10,Others
P273यदवहपरतभगउचचश,b_2_7_3,Highest level of education he/she wants to pursue
P274कयवहपरतभगपछलब,b_2_7_4,Has the participant been looking for any job in the last 12 months?
P275पछलबरहमहनमवहप,b_2_7_5,Number of exams he/she sat for in the last 12 months
P275Bपछलबरहमहनमवह,b_2_7_5B,Number of interviews he/she sat for in the last 12 months
P276वहपरतभगभवषयमक,b_2_7_6,Kind of job that he/she wants to do in future
P276Aउसकमनमकसतरहक,b_2_7_6A,Kind of government job that he/she aspires
P276Aउसकमनमकसतरहक,b_2_7_6A_1," Central government job through UPSC like IAS, IPS etc."
P276Aउसकमनमकसतरहक,b_2_7_6A_2,Nationalized Banks
P276Aउसकमनमकसतरहक,b_2_7_6A_3,Indian Railways
P276Aउसकमनमकसतरहक,b_2_7_6A_4,SSC
P276Aउसकमनमकसतरहक,b_2_7_6A_5,Defense exam such as NDA
P276Aउसकमनमकसतरहक,b_2_7_6A_6,Public sector undertaking (PSU jobs)
P276Aउसकमनमकसतरहक,b_2_7_6A_7,Food corporation of India (FCI) jobs
P276Aउसकमनमकसतरहक,b_2_7_6A_8,Kendriya Vidyalaya teaching post exams
P276Aउसकमनमकसतरहक,b_2_7_6A_9,UP police
P276Aउसकमनमकसतरहक,b_2_7_6A_10,UP Public service commission
P276Aउसकमनमकसतरहक,b_2_7_6A_11,UP Teaching eligibility test
P276Aउसकमनमकसतरहक,b_2_7_6A_12,UP State Eligibility Test
P276Aउसकमनमकसतरहक,b_2_7_6A_13,UP High Court recruitment
P276Aउसकमनमकसतरहक,b_2_7_6A_14,UP Lekpal Exams
P276Aउसकमनमकसतरहक,b_2_7_6A_15,Others
P276Aउसकमनमकसतरहक,b_2_7_6A_16,NA
P276Bवहकससतरपरसरक,b_2_7_6B,At what level is he/she aspiring to get the govt. job?
P277कयवहपरतभगनकरक,b_2_7_7,Is he/she open to moving out of the current location for job?
P278कयनकरखजनकममलम,b_2_7_8,Does he/she have any specfic restrictions in terms of job search?
P278कयनकरखजनकममलम,b_2_7_8_1, Closer to home
P278कयनकरखजनकममलम,b_2_7_8_2,Time flexibility
P278कयनकरखजनकममलम,b_2_7_8_3,Work-life balance
P278कयनकरखजनकममलम,b_2_7_8_4,Job security/position
P278कयनकरखजनकममलम,b_2_7_8_5, Part-time only
P278कयनकरखजनकममलम,b_2_7_8_6,Others
P279पछलसपतहमउसनपर,b_2_7_9,Average number of hours he /she prepared for job market/entrance exams
P2710जबमरकटखजकलएप,b_2_7_10,Kind of preparation he/she took in the last 12 months for the job market/search
P2710Bयदउसपरतभगकस,b_2_7_10B,Back-up plan
P2711वहपरतभगकसउमर,b_2_7_11,Age at which he/she wants the participant to get married?
P2712वहपरतभगकसउमर,b_2_7_12,Age at which he/she wanted the participant to start a family
P2713आपकलएनकरकपरक,b_2_7_13," For you, which family member's opinion matters most while deciding the job type"
P27140स10कपमनपर0क,b_2_7_14,"scale of 0 to 10, your confidence that he/she will go out to work"
P27150स10कसकलपर0क,b_2_7_15,"scale of 0 to 10, your confidence that he/she will land a govt. job"
P2716आपककयलगतहकउस,b_2_7_16,"scale of 0 to 10, how easy for him/her to succeed in the job market?"
P2717आपककयलगतहकउस,b_2_7_17,"scale of 0 to 10, how easy for him/her to succeed in government job market"
P2718आपकअनसरनकरबज,b_2_7_18,Main obstacle that he/she is facing in the job market
P291पछल7दनमआपकऔसत,b_2_9_1,General Health
P292पछल7दनमआपकऔसत,b_2_9_2,Mental health
P216परथमकतएँवरयतस,b_2_16,Preferences
P2161कयआपआमतरपरऐस,b_2_16_1,"scale of 0 to 10, are you prepared to take risks?"
P2162आपबदलमकछभउमम,b_2_16_2,"scale of 0 to10, how willing are you to give to good causes without expecting?"
P2163भवषयमउससलभपन,b_2_16_3,"scale of 0 to10, will to give up something beneficial today to benefit in future"
id,_id,_id
index,_index,_index
